,condition,time,type
0,Supervised,2.815773711,Congratulation
1,Supervised,0.389697629,Congratulation
2,Supervised,6.859105849,Congratulation
3,Supervised,1.359141514,Congratulation
4,Supervised,0.648912682,Congratulation
5,Supervised,5.183594696,Congratulation
6,Supervised,3.42297165,Congratulation
7,Supervised,8.915112853,Congratulation
8,Supervised,1.738994032,Congratulation
9,Supervised,0.993022516,Congratulation
10,Supervised,0.121093176,Congratulation
11,Supervised,5.292086702,Congratulation
12,Supervised,1.417685922,Congratulation
13,Supervised,1.41434477,Congratulation
14,Supervised,1.27312587,Congratulation
15,Supervised,1.011874548,Congratulation
16,Supervised,0.416334123,Congratulation
17,Supervised,1.554371348,Congratulation
18,Supervised,2.816896933,Congratulation
19,Supervised,1.621136583,Congratulation
20,Supervised,1.391096126,Congratulation
21,Supervised,0.563747738,Congratulation
22,Supervised,2.183446968,Congratulation
23,Supervised,1.462612885,Congratulation
24,Supervised,0.306659178,Congratulation
25,Supervised,2.559953181,Congratulation
26,Supervised,0.878211991,Congratulation
27,Supervised,0.300779809,Congratulation
28,Supervised,1.747323938,Congratulation
29,Supervised,0.296088205,Congratulation
30,Supervised,0.20925903,Congratulation
31,Supervised,2.132885667,Congratulation
32,Supervised,2.886507417,Congratulation
33,Supervised,0.744439515,Congratulation
34,Supervised,0.088898511,Congratulation
35,Supervised,1.558684263,Congratulation
36,Supervised,2.129800467,Congratulation
37,Supervised,1.373899102,Congratulation
38,Supervised,2.597327025,Congratulation
39,Supervised,2.207863483,Congratulation
40,Supervised,1.569431774,Congratulation
41,Supervised,1.21553559,Congratulation
42,Supervised,1.445390342,Congratulation
43,Supervised,2.182528274,Congratulation
44,Supervised,1.837073085,Congratulation
45,Supervised,3.673130173,Congratulation
46,Supervised,0.132058309,Congratulation
47,Supervised,0.570384878,Congratulation
48,Supervised,0.211069434,Congratulation
49,Supervised,4.348433485,Congratulation
50,Supervised,1.971609794,Congratulation
51,Supervised,1.701300277,Congratulation
52,Supervised,0.130256165,Congratulation
53,Supervised,0.196877011,Congratulation
54,Supervised,0.709197252,Congratulation
55,Supervised,0.174483639,Congratulation
56,Supervised,1.448280024,Congratulation
57,Supervised,0.314176843,Congratulation
58,Supervised,2.771590088,Congratulation
59,Supervised,1.075424954,Congratulation
60,Supervised,0.537583737,Congratulation
61,Supervised,1.36056948,Congratulation
62,Supervised,1.733176801,Congratulation
63,Supervised,0.622894103,Congratulation
64,Supervised,0.401367995,Congratulation
65,Supervised,3.805765378,Congratulation
66,Supervised,0.545359898,Congratulation
67,Supervised,0.846123111,Congratulation
68,Supervised,1.475831444,Congratulation
69,Supervised,0.996739332,Congratulation
70,Supervised,1.864916446,Congratulation
71,Supervised,0.282119128,Congratulation
72,Supervised,1.206071635,Congratulation
73,Supervised,2.348766465,Congratulation
74,Supervised,1.338772159,Congratulation
75,Supervised,1.869083696,Congratulation
76,Supervised,2.124232129,Congratulation
77,Supervised,1.380799557,Congratulation
78,Supervised,3.444355708,Congratulation
79,Supervised,2.309196045,Congratulation
80,Supervised,1.844592793,Congratulation
81,Supervised,2.919728815,Congratulation
82,Supervised,0.859982073,Congratulation
83,Supervised,1.560938485,Congratulation
84,Supervised,1.152616212,Congratulation
85,Supervised,1.444770488,Congratulation
86,Supervised,1.930987843,Congratulation
87,Supervised,1.174177106,Congratulation
88,Supervised,1.418976713,Congratulation
89,Supervised,0.152846794,Congratulation
90,Supervised,1.728991076,Congratulation
91,Supervised,0.257181763,Congratulation
92,Supervised,0.631134982,Congratulation
93,Supervised,0.130776889,Congratulation
94,Supervised,0.37583992,Congratulation
95,Supervised,1.515781413,Congratulation
96,Supervised,1.245624732,Congratulation
97,Supervised,1.36293037,Congratulation
98,Supervised,4.558873906,Congratulation
99,Supervised,0.989362215,Congratulation
100,Supervised,1.81317323,Congratulation
101,Supervised,1.293604151,Congratulation
102,Supervised,1.296283353,Congratulation
103,Supervised,1.626870096,Congratulation
104,Supervised,3.511724753,Congratulation
105,Supervised,1.563222944,Congratulation
106,Supervised,3.697954752,Congratulation
107,Supervised,1.583005942,Congratulation
108,Supervised,2.378467208,Congratulation
109,Supervised,3.093358328,Congratulation
110,Supervised,2.576912459,Congratulation
111,Supervised,2.236289376,Congratulation
112,Supervised,1.521631996,Congratulation
113,Supervised,2.61726213,Congratulation
114,Supervised,0.096764751,Congratulation
115,Supervised,3.186415631,Congratulation
116,Supervised,0.270287996,Congratulation
117,Supervised,1.365164513,Congratulation
118,Supervised,0.68067226,Congratulation
119,Supervised,2.572619824,Congratulation
120,Supervised,2.167394096,Congratulation
121,Supervised,0.696287661,Congratulation
122,Supervised,1.69105952,Congratulation
123,Supervised,0.436129038,Congratulation
124,Supervised,1.681206097,Congratulation
125,Supervised,2.923428063,Congratulation
126,Supervised,1.016711346,Congratulation
127,Supervised,0.671625222,Congratulation
128,Supervised,2.302475392,Congratulation
129,Supervised,2.15851683,Congratulation
130,Supervised,1.970174426,Congratulation
131,Supervised,1.191677881,Congratulation
132,Supervised,2.240085931,Congratulation
133,Supervised,1.289008459,Congratulation
134,Supervised,1.413570427,Congratulation
135,Supervised,1.761670462,Congratulation
136,Supervised,1.742167454,Congratulation
137,Supervised,1.495066039,Congratulation
138,Supervised,0.378217089,Congratulation
139,Supervised,1.044519337,Congratulation
140,Supervised,2.310966741,Congratulation
141,Supervised,3.983100228,Congratulation
142,Supervised,2.565575049,Congratulation
143,Supervised,1.166882131,Congratulation
144,Supervised,1.708291052,Congratulation
145,Supervised,1.506417058,Congratulation
146,Supervised,2.349704755,Congratulation
147,Supervised,1.685324119,Congratulation
148,Supervised,0.973986786,Congratulation
149,Supervised,1.761512499,Congratulation
150,Supervised,1.707423281,Congratulation
151,Supervised,1.759493276,Congratulation
152,Supervised,1.649798506,Congratulation
153,Supervised,1.928326288,Congratulation
154,Supervised,0.677685319,Congratulation
155,Supervised,1.643221842,Congratulation
156,Supervised,1.36110353,Congratulation
157,Supervised,1.145328489,Congratulation
158,Supervised,0.511366837,Congratulation
159,Supervised,2.802597735,Congratulation
160,Supervised,5.184199712,Congratulation
161,Supervised,1.205608201,Congratulation
162,Supervised,1.84417858,Congratulation
163,Supervised,0.379127378,Congratulation
164,Supervised,0.094809481,Congratulation
165,Supervised,1.054571879,Congratulation
166,Supervised,1.422697241,Congratulation
167,Supervised,0.279637704,Congratulation
168,Supervised,0.557601128,Congratulation
169,Supervised,0.71160649,Congratulation
170,Supervised,0.364608224,Congratulation
171,Supervised,0.940616162,Congratulation
172,Supervised,0.098679675,Congratulation
173,Supervised,1.191735276,Congratulation
174,Supervised,0.202774341,Congratulation
175,Supervised,0.622493141,Congratulation
176,Supervised,1.735993598,Congratulation
177,Supervised,0.011571471,Congratulation
178,Supervised,0.273219496,Congratulation
179,Supervised,1.207006685,Congratulation
180,Supervised,1.435070192,Congratulation
181,Supervised,0.297237887,Congratulation
182,Supervised,1.414358096,Congratulation
183,Supervised,1.150997129,Congratulation
184,Supervised,1.799001032,Congratulation
185,Supervised,0.6231072,Congratulation
186,Supervised,2.088720108,Congratulation
187,Supervised,1.617475988,Congratulation
188,Supervised,2.156958241,Congratulation
189,Supervised,1.211862599,Congratulation
190,Supervised,1.258834832,Congratulation
191,Supervised,0.674281196,Congratulation
192,Supervised,4.009776693,Congratulation
193,Supervised,1.193428163,Congratulation
194,Supervised,2.242865386,Congratulation
195,Supervised,1.48510054,Congratulation
196,Supervised,0.238984673,Congratulation
197,Supervised,0.109648858,Congratulation
198,Supervised,0.424901221,Congratulation
199,Supervised,2.873592337,Congratulation
200,Supervised,1.409189267,Congratulation
201,Supervised,1.327489651,Congratulation
202,Supervised,0.967653372,Congratulation
